candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer,r23_active_percent,r23_count,r23_transfer,r24_active_percent,r24_count,r24_transfer,r25_active_percent,r25_count,r25_transfer,r26_active_percent,r26_count,r26_transfer,r27_active_percent,r27_count,r27_transfer,r28_active_percent,r28_count,r28_transfer,r29_active_percent,r29_count,r29_transfer,r30_active_percent,r30_count,r30_transfer,r31_active_percent,r31_count,r31_transfer
Andra.Vltavin,1.766,1355.0,0.0,1.766,1355.0,1.0,1.767,1356.0,3.0,1.772,1359.0,1.0,1.773,1360.0,0.0,1.774,1360.0,5.0,1.781,1365.0,18.0,1.805,1383.0,0.024,1.805,1383.024,4.0,1.815,1387.024,16.0,1.837,1403.024,33.0,1.881,1436.024,4.0,1.888,1440.024,25.0,1.923,1465.024,7.001,1.934,1472.026,62.004,2.017,1534.029,20.0,2.046,1554.029,9.001,2.062,1563.03,29.0,2.106,1592.03,11.001,2.127,1603.03,134.006,2.311,1737.036,65.001,2.413,1802.037,-1802.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kevin.Goldsmith,1.865,1431.0,0.0,1.865,1431.0,3.0,1.869,1434.0,10.0,1.882,1444.0,0.0,1.883,1444.0,1.0,1.885,1445.0,8.0,1.896,1453.0,5.0,1.903,1458.0,0.04,1.903,1458.04,6.0,1.916,1464.04,3.0,1.921,1467.04,3.0,1.925,1470.04,60.001,2.006,1530.04,11.002,2.023,1541.042,12.001,2.041,1553.042,10.001,2.055,1563.043,24.0,2.09,1587.043,39.003,2.146,1626.045,36.002,2.199,1662.047,33.002,2.249,1695.049,35.002,2.302,1730.052,-1730.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chloe.Mason,1.274,978.0,1.0,1.276,979.0,4.0,1.281,983.0,4.0,1.287,987.0,2.0,1.289,989.0,3.0,1.294,992.0,8.0,1.305,1000.0,7.0,1.315,1007.0,0.065,1.315,1007.065,4.0,1.323,1011.065,9.002,1.335,1020.067,17.0,1.358,1037.067,9.0,1.372,1046.067,45.003,1.432,1091.07,14.001,1.452,1105.07,84.004,1.563,1189.074,23.001,1.596,1212.075,29.003,1.638,1241.078,97.003,1.77,1338.08,14.003,1.794,1352.083,-1352.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Stanley.Penkin,1.423,1092.0,0.0,1.423,1092.0,2.0,1.426,1094.0,2.0,1.429,1096.0,1.0,1.43,1097.0,6.0,1.439,1103.0,2.0,1.442,1105.0,6.0,1.45,1111.0,0.145,1.451,1111.145,0.0,1.454,1111.145,7.002,1.464,1118.147,8.0,1.475,1126.147,16.0,1.498,1142.147,4.001,1.504,1146.147,6.001,1.514,1152.148,18.002,1.538,1170.15,17.003,1.563,1187.152,30.003,1.606,1217.155,31.007,1.651,1248.162,-1248.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John.Toran,1.371,1052.0,1.0,1.372,1053.0,3.0,1.376,1056.0,4.0,1.382,1060.0,2.0,1.385,1062.0,9.0,1.397,1071.0,2.0,1.4,1073.0,4.0,1.406,1077.0,0.09,1.406,1077.09,1.0,1.411,1078.09,5.0,1.418,1083.09,9.001,1.43,1092.091,5.0,1.438,1097.091,6.0,1.448,1103.091,5.0,1.456,1108.091,40.003,1.509,1148.094,24.002,1.543,1172.096,40.004,1.599,1212.101,-1212.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bob.Callahan,1.155,886.0,2.0,1.157,888.0,5.0,1.164,893.0,2.0,1.167,895.0,11.0,1.181,906.0,6.0,1.19,912.0,3.0,1.194,915.0,2.0,1.197,917.0,0.085,1.197,917.085,6.001,1.208,923.086,16.0,1.229,939.086,7.0,1.239,946.086,12.001,1.256,958.086,13.0,1.275,971.086,14.0,1.294,985.086,8.0,1.306,993.086,15.0,1.327,1008.086,-1008.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Moses.Ross,0.753,578.0,4.0,0.758,582.0,4.0,0.764,586.0,1.0,0.765,587.0,3.0,0.769,590.0,3.0,0.774,593.0,5.0,0.78,598.0,2.0,0.783,600.0,0.048,0.783,600.048,5.0,0.792,605.048,3.0,0.796,608.048,20.0,0.823,628.048,3.0,0.827,631.048,13.0,0.845,644.048,13.001,0.863,657.048,14.0,0.882,671.048,-671.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ciatta.R.Thompson,0.691,530.0,0.0,0.691,530.0,1.0,0.692,531.0,3.0,0.696,534.0,2.0,0.699,536.0,7.0,0.708,543.0,3.0,0.713,546.0,11.0,0.727,557.0,0.032,0.727,557.032,2.0,0.731,559.032,8.0,0.742,567.032,8.0,0.753,575.032,4.0,0.759,579.032,13.002,0.777,592.034,10.001,0.791,602.035,-602.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mike.DiNapoli,0.41,315.0,0.0,0.41,315.0,1.0,0.412,316.0,2.0,0.415,318.0,2.0,0.417,320.0,3.0,0.421,323.0,4.0,0.427,327.0,6.0,0.435,333.0,0.024,0.435,333.024,1.0,0.437,334.024,29.002,0.475,363.026,13.0,0.492,376.026,3.001,0.497,379.026,7.0,0.507,386.026,-386.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Raquel.Coyote,0.412,316.0,2.0,0.414,318.0,0.0,0.414,318.0,0.0,0.415,318.0,3.0,0.419,321.0,3.0,0.423,324.0,4.0,0.428,328.0,5.0,0.435,333.0,0.015,0.435,333.015,5.0,0.442,338.015,6.0,0.45,344.015,4.0,0.456,348.015,13.0,0.473,361.015,-361.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
