candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer
Alexander.Landry.Neely,0.601,1863.0,5.0,0.603,1868.0,35.0,0.614,1903.0,4.0,0.616,1907.0,20.0,0.623,1927.0,17.0,0.629,1944.0,44.0,0.644,1988.0,67.0,0.666,2055.0,46.0,0.682,2101.0,94.0,0.713,2195.0,-2195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael.Hayes,0.568,1760.0,8.0,0.571,1768.0,18.0,0.577,1786.0,11.0,0.581,1797.0,29.0,0.59,1826.0,15.0,0.596,1841.0,29.0,0.605,1870.0,99.0,0.638,1969.0,45.0,0.653,2014.0,-2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Shei.Meka..BeUtee..As.Salaam,0.376,1164.0,6.0,0.378,1170.0,20.0,0.384,1190.0,8.0,0.387,1198.0,74.0,0.411,1272.0,221.0,0.483,1493.0,20.0,0.49,1513.0,14.0,0.495,1527.0,-1527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James.Macdonald,0.336,1041.0,58.0,0.355,1099.0,31.0,0.365,1130.0,4.0,0.367,1134.0,33.0,0.377,1167.0,25.0,0.386,1192.0,88.0,0.414,1280.0,-1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dustin.Witherspoon,0.301,934.0,15.0,0.306,949.0,13.0,0.311,962.0,4.0,0.312,966.0,16.0,0.318,982.0,16.0,0.323,998.0,-998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Saadiq.Ali,0.278,862.0,6.0,0.28,868.0,26.0,0.289,894.0,7.0,0.291,901.0,61.0,0.311,962.0,-962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Yao.Jun.He,0.258,801.0,6.0,0.26,807.0,12.0,0.264,819.0,13.0,0.269,832.0,-832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writein,0.205,634.0,0.0,0.205,634.0,0.0,0.205,634.0,-634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James.Atkinson.IV,0.184,571.0,9.0,0.187,580.0,-580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael.Necula,0.105,324.0,-324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James.A.Zehren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,1533.0,96.0,0.0,1629.0,103.0,0.0,1732.0,354.0,0.0,2086.0,175.0,0.0,2261.0,167.0,0.0,2428.0,203.0,0.0,2631.0,369.0,0.0,3000.0,222.0,0.0,3222.0,281.0,0.0,3503.0,238.0,0.0,3741.0,833.0,0.0,4574.0,492.0,0.0,5066.0,680.0,0.0,5746.0,711.0,0.0,6457.0,750.0,0.0,7207.0,3905.0,0.0,11112.0,10537.0,0.0,21649.0,29894.0,0.0,51543.0,
colsum,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,
