candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer
Michael..Mike..Marshall,2.133,1646.0,1.0,2.138,1647.0,7.0,2.148,1654.0,15.0,2.169,1669.0,19.0,2.198,1688.0,30.0,2.24,1718.0,13.0,2.26,1731.0,73.0,2.36,1804.0,26.0,2.399,1830.0,54.0,2.472,1884.0,36.0,2.525,1920.0,73.0,2.625,1993.0,168.0,2.857,2161.0,-2161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James.Armstrong,1.913,1476.0,4.0,1.921,1480.0,8.0,1.933,1488.0,9.0,1.946,1497.0,23.0,1.98,1520.0,80.0,2.086,1600.0,89.0,2.205,1689.0,74.0,2.306,1763.0,20.0,2.337,1783.0,32.0,2.382,1815.0,72.0,2.481,1887.0,72.0,2.58,1959.0,-1959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chris.Olson,1.598,1233.0,1.0,1.602,1234.0,4.0,1.608,1238.0,9.0,1.621,1247.0,22.0,1.653,1269.0,21.0,1.682,1290.0,6.0,1.692,1296.0,15.0,1.715,1311.0,11.0,1.733,1322.0,139.0,1.917,1461.0,71.0,2.015,1532.0,-1532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Debbie.Kitchin,1.592,1228.0,5.0,1.601,1233.0,5.0,1.608,1238.0,7.0,1.618,1245.0,20.0,1.647,1265.0,25.0,1.682,1290.0,19.0,1.709,1309.0,29.0,1.75,1338.0,23.0,1.784,1361.0,42.0,1.841,1403.0,-1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jennifer.Park,1.444,1114.0,3.0,1.45,1117.0,9.0,1.463,1126.0,11.0,1.478,1137.0,37.0,1.529,1174.0,6.0,1.539,1180.0,34.0,1.585,1214.0,10.0,1.601,1224.0,17.0,1.627,1241.0,-1241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nabil.Zaghloul,1.081,834.0,1.0,1.084,835.0,14.0,1.103,849.0,7.0,1.113,856.0,16.0,1.136,872.0,11.0,1.151,883.0,14.0,1.171,897.0,12.0,1.189,909.0,-909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Will.Mespelt,0.984,759.0,3.0,0.989,762.0,3.0,0.994,765.0,14.0,1.013,779.0,10.0,1.028,789.0,51.0,1.095,840.0,16.0,1.117,856.0,-856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Laura.Streib,0.916,707.0,1.0,0.919,708.0,3.0,0.924,711.0,5.0,0.931,716.0,39.0,0.983,755.0,12.0,1.0,767.0,-767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Reuben.Berlin,0.85,656.0,3.0,0.856,659.0,6.0,0.864,665.0,8.0,0.875,673.0,3.0,0.88,676.0,-676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Liz.Taylor,0.814,628.0,2.0,0.818,630.0,16.0,0.839,646.0,5.0,0.846,651.0,-651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sam.Sachs,0.394,304.0,1.0,0.396,305.0,6.0,0.404,311.0,-311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Antonio.Jamal.PettyJohnBlue,0.281,217.0,2.0,0.284,219.0,-219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writein,0.273,211.0,-211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,486.0,133.0,0.0,619.0,38.0,0.0,657.0,55.0,0.0,712.0,145.0,0.0,857.0,98.0,0.0,955.0,81.0,0.0,1036.0,168.0,0.0,1204.0,149.0,0.0,1353.0,88.0,0.0,1441.0,155.0,0.0,1596.0,109.0,0.0,1705.0,290.0,0.0,1995.0,273.0,0.0,2268.0,491.0,0.0,2759.0,1136.0,0.0,3895.0,543.0,0.0,4438.0,570.0,0.0,5008.0,879.0,0.0,5887.0,2226.0,0.0,8113.0,496.473,0.0,8609.473,6931.273,0.0,15540.746,
colsum,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,0.0,100.0,77643.0,
