candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer,r23_active_percent,r23_count,r23_transfer,r24_active_percent,r24_count,r24_transfer,r25_active_percent,r25_count,r25_transfer,r26_active_percent,r26_count,r26_transfer,r27_active_percent,r27_count,r27_transfer,r28_active_percent,r28_count,r28_transfer,r29_active_percent,r29_count,r29_transfer
Ahlam.K.Osman,0.839,709.0,7.0,0.847,716.0,1.0,0.849,717.0,1.0,0.85,718.0,6.0,0.858,724.0,1.0,0.859,725.0,8.0,0.869,733.0,12.0,0.884,745.0,1.0,0.886,746.0,3.0,0.891,749.0,12.0,0.906,761.0,6.0,0.913,767.0,5.0,0.92,772.0,12.0,0.935,784.0,10.0,0.948,794.0,33.0,0.989,827.0,-827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Heart.Free.Pham,0.646,546.0,2.0,0.648,548.0,9.0,0.659,557.0,4.0,0.664,561.0,5.0,0.671,566.0,7.0,0.679,573.0,5.0,0.685,578.0,6.0,0.693,584.0,5.0,0.7,589.0,9.0,0.711,598.0,8.0,0.721,606.0,6.0,0.729,612.0,20.0,0.753,632.0,17.0,0.774,649.0,12.0,0.789,661.0,-661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luke.Zak,0.648,548.0,3.0,0.652,551.0,5.0,0.658,556.0,3.0,0.662,559.0,6.0,0.669,565.0,5.0,0.675,570.0,15.0,0.694,585.0,9.0,0.704,594.0,1.0,0.707,595.0,6.0,0.715,601.0,2.0,0.718,603.0,9.0,0.729,612.0,4.0,0.734,616.0,17.0,0.755,633.0,-633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brian.Conley,0.599,506.0,1.0,0.6,507.0,9.0,0.611,516.0,9.0,0.622,525.0,4.0,0.627,529.0,10.0,0.639,539.0,8.0,0.649,547.0,5.0,0.655,552.0,2.0,0.658,554.0,12.0,0.673,566.0,9.0,0.684,575.0,6.0,0.692,581.0,17.0,0.713,598.0,-598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Terry.Parker,0.444,375.0,2.0,0.446,377.0,13.0,0.462,390.0,10.0,0.474,400.0,9.0,0.485,409.0,3.0,0.488,412.0,1.0,0.49,413.0,5.0,0.496,418.0,0.0,0.497,418.0,17.0,0.517,435.0,9.0,0.528,444.0,14.0,0.545,458.0,-458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dan.Gilk,0.39,330.0,1.0,0.392,331.0,6.0,0.399,337.0,7.0,0.407,344.0,3.0,0.411,347.0,0.0,0.411,347.0,1.0,0.413,348.0,3.0,0.416,351.0,4.0,0.422,355.0,3.0,0.426,358.0,14.0,0.443,372.0,-372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Christopher.Brummer,0.311,263.0,1.0,0.312,264.0,0.0,0.313,264.0,5.0,0.319,269.0,1.0,0.32,270.0,2.0,0.322,272.0,2.0,0.325,274.0,4.0,0.33,278.0,1.0,0.332,279.0,5.0,0.338,284.0,-284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John.Sweeney,0.279,236.0,3.0,0.283,239.0,8.0,0.292,247.0,4.0,0.297,251.0,2.0,0.3,253.0,4.0,0.305,257.0,3.0,0.308,260.0,6.0,0.315,266.0,5.0,0.322,271.0,-271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writein,0.293,248.0,1.0,0.295,249.0,0.0,0.295,249.0,0.0,0.295,249.0,0.0,0.295,249.0,1.0,0.296,250.0,0.0,0.296,250.0,1.0,0.298,251.0,-251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kelly.Janes..KJ.,0.266,225.0,1.0,0.267,226.0,4.0,0.272,230.0,6.0,0.28,236.0,8.0,0.289,244.0,1.0,0.29,245.0,3.0,0.294,248.0,-248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Theo.Hathaway.Saner,0.259,219.0,1.0,0.26,220.0,5.0,0.266,225.0,0.0,0.266,225.0,3.0,0.27,228.0,5.0,0.276,233.0,-233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Patrick.Hilton,0.23,194.0,4.0,0.234,198.0,1.0,0.236,199.0,1.0,0.237,200.0,2.0,0.239,202.0,-202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jaclyn.Smith.Moore,0.23,194.0,4.0,0.234,198.0,0.0,0.234,198.0,2.0,0.237,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David.O.Connor,0.206,174.0,2.0,0.208,176.0,1.0,0.21,177.0,-177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kenneth..Kent..R.Landgraver.III,0.204,172.0,2.0,0.206,174.0,-174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Clifford.Higgins,0.123,104.0,-104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,552.0,9.0,0.0,561.0,30.0,0.0,591.0,43.0,0.0,634.0,22.0,0.0,656.0,29.0,0.0,685.0,34.0,0.0,719.0,29.0,0.0,748.0,162.0,0.0,910.0,76.0,0.0,986.0,55.0,0.0,1041.0,31.0,0.0,1072.0,76.0,0.0,1148.0,56.0,0.0,1204.0,72.0,0.0,1276.0,139.0,0.0,1415.0,85.0,0.0,1500.0,171.0,0.0,1671.0,263.0,0.0,1934.0,140.0,0.0,2074.0,1.073,0.0,2075.073,288.025,0.0,2363.098,216.054,0.0,2579.152,418.066,0.0,2997.219,586.045,0.0,3583.264,601.103,0.0,4184.366,1322.092,0.0,5506.458,1286.304,0.0,6792.762,2636.975,0.0,9429.737,
colsum,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,0.0,100.0,85067.0,
