CONSOLIDATED MULTNOMAH COUNTY WASHINGTON COUNTY AND CLACKAMAS COUNTY ELECTION RESULTS
City of Portland Councilor District 2
ELECTION RESULTS - FINAL

Contest,City of Portland Councilor District 2
Election Date,November 05 2024
Report Date,December 02 2024 03:04:45 PM
Registered Voters in District,119121
Election Threshold,19290 votes (25% +1)

,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Round 7,,,Round 8,,,Round 9,,,Round 10,,,Round 11,,,Round 12,,,Round 13,,,Round 14,,,Round 15,,,Round 16,,,Round 17,,,Round 18,,,Round 19,,,Round 20,,,Round 21,,,Round 22,,,Round 23,
Met threshold for election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sameer Kanal,,,,,,Dan Ryan; Elana Pirtle-Guiney,,,,
Defeated,,,Uncertified Write In,,,Antonio Jamal PettyJohnBlue,,,Sam Sachs,,,Liz Taylor,,,Reuben Berlin,,,Laura Streib,,,Will Mespelt,,,Nabil Zaghloul,,,Jennifer Park,,,Debbie Kitchin,,,Chris Olson,,,James Armstrong,,,Michael (Mike) Marshall,,,Mariah Hudson,,,Bob Simril,,,Jonathan Tasini,,,Marnie Glickman,,,Michelle DePass,,,Nat West,,,,,,Tiffani Penson,,,,,
,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest
Sameer Kanal,9924.0000,12.86%,+5.0000,9929.0000,12.87%,+16.0000,9945.0000,12.89%,+13.0000,9958.0000,12.91%,+22.0000,9980.0000,12.93%,+44.0000,10024.0000,12.99%,+46.0000,10070.0000,13.05%,+21.0000,10091.0000,13.08%,+97.0000,10188.0000,13.20%,+185.0000,10373.0000,13.44%,+130.0000,10503.0000,13.61%,+389.0000,10892.0000,14.12%,+91.0000,10983.0000,14.23%,+149.0000,11132.0000,14.43%,+145.0000,11277.0000,14.62%,+175.0000,11452.0000,14.84%,+903.0000,12355.0000,16.01%,+1905.0000,14260.0000,18.48%,+3280.0000,17540.0000,22.73%,+2826.0000,20366.0000,26.40%,-1076.0000,19290.0000,25.00%,,19290.0000,25.00%,,19290.0000,25.00%
Dan Ryan,12047.0000,15.61%,+14.0000,12061.0000,15.63%,+5.0000,12066.0000,15.64%,+22.0000,12088.0000,15.67%,+29.0000,12117.0000,15.70%,+54.0000,12171.0000,15.77%,+64.0000,12235.0000,15.86%,+118.0000,12353.0000,16.01%,+116.0000,12469.0000,16.16%,+43.0000,12512.0000,16.22%,+127.0000,12639.0000,16.38%,+48.0000,12687.0000,16.44%,+303.0000,12990.0000,16.84%,+372.0000,13362.0000,17.32%,+727.0000,14089.0000,18.26%,+1031.0000,15120.0000,19.60%,+381.0000,15501.0000,20.09%,+379.0000,15880.0000,20.58%,+611.0000,16491.0000,21.37%,+1219.0000,17710.0000,22.95%,+55.2816,17765.2816,23.02%,+3473.5264,21238.8080,27.53%,-1948.8080,19290.0000,25.00%
Elana Pirtle-Guiney,12447.0000,16.13%,+5.0000,12452.0000,16.14%,+6.0000,12458.0000,16.15%,+13.0000,12471.0000,16.16%,+31.0000,12502.0000,16.20%,+12.0000,12514.0000,16.22%,+57.0000,12571.0000,16.29%,+22.0000,12593.0000,16.32%,+51.0000,12644.0000,16.39%,+128.0000,12772.0000,16.55%,+98.0000,12870.0000,16.68%,+109.0000,12979.0000,16.82%,+202.0000,13181.0000,17.08%,+217.0000,13398.0000,17.36%,+296.0000,13694.0000,17.75%,+165.0000,13859.0000,17.96%,+927.0000,14786.0000,19.16%,+572.0000,15358.0000,19.90%,+1305.0000,16663.0000,21.60%,+1472.0000,18135.0000,23.50%,+310.4640,18445.4640,23.91%,+3127.7152,21573.1792,27.96%,-2283.1792,19290.0000,25.00%
Tiffani Penson,7218.0000,9.35%,+6.0000,7224.0000,9.36%,+13.0000,7237.0000,9.38%,+14.0000,7251.0000,9.40%,+90.0000,7341.0000,9.51%,+50.0000,7391.0000,9.58%,+58.0000,7449.0000,9.65%,+48.0000,7497.0000,9.72%,+92.0000,7589.0000,9.84%,+105.0000,7694.0000,9.97%,+160.0000,7854.0000,10.18%,+106.0000,7960.0000,10.32%,+172.0000,8132.0000,10.54%,+202.0000,8334.0000,10.80%,+450.0000,8784.0000,11.38%,+477.0000,9261.0000,12.00%,+384.0000,9645.0000,12.50%,+739.0000,10384.0000,13.46%,+1447.0000,11831.0000,15.33%,+1488.0000,13319.0000,17.26%,+213.4176,13532.4176,17.54%,-13532.4176,,,,,
Michelle DePass,6838.0000,8.86%,+9.0000,6847.0000,8.87%,+16.0000,6863.0000,8.89%,+14.0000,6877.0000,8.91%,+31.0000,6908.0000,8.95%,+20.0000,6928.0000,8.98%,+60.0000,6988.0000,9.06%,+10.0000,6998.0000,9.07%,+60.0000,7058.0000,9.15%,+52.0000,7110.0000,9.21%,+74.0000,7184.0000,9.31%,+42.0000,7226.0000,9.37%,+115.0000,7341.0000,9.51%,+79.0000,7420.0000,9.62%,+156.0000,7576.0000,9.82%,+122.0000,7698.0000,9.98%,+296.0000,7994.0000,10.36%,+299.0000,8293.0000,10.75%,-8293.0000,,,,,,,,,,,,,,
Nat West,5462.0000,7.08%,+4.0000,5466.0000,7.08%,+14.0000,5480.0000,7.10%,+14.0000,5494.0000,7.12%,+25.0000,5519.0000,7.15%,+41.0000,5560.0000,7.21%,+74.0000,5634.0000,7.30%,+40.0000,5674.0000,7.35%,+45.0000,5719.0000,7.41%,+137.0000,5856.0000,7.59%,+152.0000,6008.0000,7.79%,+179.0000,6187.0000,8.02%,+181.0000,6368.0000,8.25%,+204.0000,6572.0000,8.52%,+205.0000,6777.0000,8.78%,+259.0000,7036.0000,9.12%,+562.0000,7598.0000,9.85%,+862.0000,8460.0000,10.96%,+771.0000,9231.0000,11.96%,-9231.0000,,,,,,,,,,,
Marnie Glickman,3997.0000,5.18%,+1.0000,3998.0000,5.18%,+6.0000,4004.0000,5.19%,+7.0000,4011.0000,5.20%,+18.0000,4029.0000,5.22%,+23.0000,4052.0000,5.25%,+28.0000,4080.0000,5.29%,+9.0000,4089.0000,5.30%,+42.0000,4131.0000,5.35%,+79.0000,4210.0000,5.46%,+184.0000,4394.0000,5.69%,+150.0000,4544.0000,5.89%,+40.0000,4584.0000,5.94%,+111.0000,4695.0000,6.08%,+144.0000,4839.0000,6.27%,+114.0000,4953.0000,6.42%,+373.0000,5326.0000,6.90%,-5326.0000,,,,,,,,,,,,,,,,,
