CONSOLIDATED MULTNOMAH COUNTY WASHINGTON COUNTY AND CLACKAMAS COUNTY ELECTION RESULTS
City of Portland Councilor District 2
ELECTION RESULTS - FINAL

Contest,City of Portland Councilor District 2
Election Date,November 05 2024
Report Date,December 02 2024 03:04:45 PM
Registered Voters in District,119121
Election Threshold,19290 votes (25% +1)

,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Round 7,,,Round 8,,,Round 9,,,Round 10,,,Round 11,,,Round 12,,,Round 13,,,Round 14,,,Round 15,,,Round 16,,,Round 17,,,Round 18,,,Round 19,,,Round 20,,,Round 21,,,Round 22,,,Round 23,
Jonathan Tasini,3404.0000,4.41%,+4.0000,3408.0000,4.42%,+7.0000,3415.0000,4.43%,+16.0000,3431.0000,4.45%,+15.0000,3446.0000,4.47%,+15.0000,3461.0000,4.49%,+41.0000,3502.0000,4.54%,+31.0000,3533.0000,4.58%,+29.0000,3562.0000,4.62%,+71.0000,3633.0000,4.71%,+30.0000,3663.0000,4.75%,+201.0000,3864.0000,5.01%,+54.0000,3918.0000,5.08%,+183.0000,4101.0000,5.32%,+140.0000,4241.0000,5.50%,+128.0000,4369.0000,5.66%,-4369.0000,,,,,,,,,,,,,,,,,,,,
Bob Simril,2520.0000,3.27%,+3.0000,2523.0000,3.27%,+8.0000,2531.0000,3.28%,+32.0000,2563.0000,3.32%,+17.0000,2580.0000,3.34%,+43.0000,2623.0000,3.40%,+19.0000,2642.0000,3.42%,+108.0000,2750.0000,3.56%,+63.0000,2813.0000,3.65%,+26.0000,2839.0000,3.68%,+45.0000,2884.0000,3.74%,+25.0000,2909.0000,3.77%,+162.0000,3071.0000,3.98%,+198.0000,3269.0000,4.24%,+338.0000,3607.0000,4.67%,-3607.0000,,,,,,,,,,,,,,,,,,,,,,,
Mariah Hudson,2287.0000,2.96%,,2287.0000,2.96%,+9.0000,2296.0000,2.98%,+21.0000,2317.0000,3.00%,+39.0000,2356.0000,3.05%,+40.0000,2396.0000,3.11%,+48.0000,2444.0000,3.17%,+68.0000,2512.0000,3.26%,+68.0000,2580.0000,3.34%,+60.0000,2640.0000,3.42%,+69.0000,2709.0000,3.51%,+29.0000,2738.0000,3.55%,+181.0000,2919.0000,3.78%,+173.0000,3092.0000,4.01%,-3092.0000,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael (Mike) Marshall,1646.0000,2.13%,+1.0000,1647.0000,2.13%,+7.0000,1654.0000,2.14%,+15.0000,1669.0000,2.16%,+19.0000,1688.0000,2.19%,+30.0000,1718.0000,2.23%,+13.0000,1731.0000,2.24%,+73.0000,1804.0000,2.34%,+26.0000,1830.0000,2.37%,+54.0000,1884.0000,2.44%,+36.0000,1920.0000,2.49%,+73.0000,1993.0000,2.58%,+168.0000,2161.0000,2.80%,-2161.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Armstrong,1476.0000,1.91%,+4.0000,1480.0000,1.92%,+8.0000,1488.0000,1.93%,+9.0000,1497.0000,1.94%,+23.0000,1520.0000,1.97%,+80.0000,1600.0000,2.07%,+89.0000,1689.0000,2.19%,+74.0000,1763.0000,2.28%,+20.0000,1783.0000,2.31%,+32.0000,1815.0000,2.35%,+72.0000,1887.0000,2.45%,+72.0000,1959.0000,2.54%,-1959.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Olson,1233.0000,1.60%,+1.0000,1234.0000,1.60%,+4.0000,1238.0000,1.60%,+9.0000,1247.0000,1.62%,+22.0000,1269.0000,1.64%,+21.0000,1290.0000,1.67%,+6.0000,1296.0000,1.68%,+15.0000,1311.0000,1.70%,+11.0000,1322.0000,1.71%,+139.0000,1461.0000,1.89%,+71.0000,1532.0000,1.99%,-1532.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debbie Kitchin,1228.0000,1.59%,+5.0000,1233.0000,1.60%,+5.0000,1238.0000,1.60%,+7.0000,1245.0000,1.61%,+20.0000,1265.0000,1.64%,+25.0000,1290.0000,1.67%,+19.0000,1309.0000,1.70%,+29.0000,1338.0000,1.73%,+23.0000,1361.0000,1.76%,+42.0000,1403.0000,1.82%,-1403.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Park,1114.0000,1.44%,+3.0000,1117.0000,1.45%,+9.0000,1126.0000,1.46%,+11.0000,1137.0000,1.47%,+37.0000,1174.0000,1.52%,+6.0000,1180.0000,1.53%,+34.0000,1214.0000,1.57%,+10.0000,1224.0000,1.59%,+17.0000,1241.0000,1.61%,-1241.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nabil Zaghloul,834.0000,1.08%,+1.0000,835.0000,1.08%,+14.0000,849.0000,1.10%,+7.0000,856.0000,1.11%,+16.0000,872.0000,1.13%,+11.0000,883.0000,1.14%,+14.0000,897.0000,1.16%,+12.0000,909.0000,1.18%,-909.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Mespelt,759.0000,0.98%,+3.0000,762.0000,0.99%,+3.0000,765.0000,0.99%,+14.0000,779.0000,1.01%,+10.0000,789.0000,1.02%,+51.0000,840.0000,1.09%,+16.0000,856.0000,1.11%,-856.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Streib,707.0000,0.92%,+1.0000,708.0000,0.92%,+3.0000,711.0000,0.92%,+5.0000,716.0000,0.93%,+39.0000,755.0000,0.98%,+12.0000,767.0000,0.99%,-767.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuben Berlin,656.0000,0.85%,+3.0000,659.0000,0.85%,+6.0000,665.0000,0.86%,+8.0000,673.0000,0.87%,+3.0000,676.0000,0.88%,-676.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz Taylor,628.0000,0.81%,+2.0000,630.0000,0.82%,+16.0000,646.0000,0.84%,+5.0000,651.0000,0.84%,-651.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Sachs,304.0000,0.39%,+1.0000,305.0000,0.40%,+6.0000,311.0000,0.40%,-311.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Jamal PettyJohnBlue,217.0000,0.28%,+2.0000,219.0000,0.28%,-219.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertified Write In,211.0000,0.27%,-211.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual surplus,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,+0.6752,0.6752,,,0,,+2.5798,3.2550,
Inactive ballots,0,,+133.0000,133.0000,,+38.0000,171.0000,,+55.0000,226.0000,,+145.0000,371.0000,,+98.0000,469.0000,,+81.0000,550.0000,,+168.0000,718.0000,,+149.0000,867.0000,,+88.0000,955.0000,,+155.0000,1110.0000,,+109.0000,1219.0000,,+290.0000,1509.0000,,+273.0000,1782.0000,,+491.0000,2273.0000,,+1136.0000,3409.0000,,+543.0000,3952.0000,,+570.0000,4522.0000,,+879.0000,5401.0000,,+2226.0000,7627.0000,,+496.1616,8123.1616,,+6931.1760,15054.3376,,+4229.4074,19283.7450,

* Tie resolved by lot in accordance with election law and reused in event of a recount.
"Election Threshold" is the number of votes sufficient for a candidate to be elected.
"Votes Transferred" are votes that come from a defeated candidate or from one who surpasses the election threshold.
