CONSOLIDATED MULTNOMAH COUNTY WASHINGTON COUNTY AND CLACKAMAS COUNTY ELECTION RESULTS
City of Portland Councilor District 4
ELECTION RESULTS - FINAL

Contest,City of Portland Councilor District 4
Election Date,November 05 2024
Report Date,December 02 2024 03:04:55 PM
Registered Voters in District,120150
Election Threshold,19180 votes (25% +1)

,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Round 7,,,Round 8,,,Round 9,,,Round 10,,,Round 11,,,Round 12,,,Round 13,,,Round 14,,,Round 15,,,Round 16,,,Round 17,,,Round 18,,,Round 19,,,Round 20,,,Round 21,,,Round 22,,,Round 23,,,Round 24,,,Round 25,,,Round 26,,,Round 27,,,Round 28,,,Round 29,,,Round 30,,,Round 31,,,Round 32,
Met threshold for election,,,,,,,,,,,,,,,,,,,Olivia Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitch Green,,,,,,Eric Zimmerman,,,,
Defeated,,,L Christopher Regis,,,Tony Schwartz,,,Lee Odell,,,Patrick Cashman,,,Brandon Farley,,,Kelly Doyle,,,,,,Uncertified Write In,,,Michael Trimble,,,Joseph (Joe) Alfone,,,John J Goldsmith,,,Chris Henry,,,Raquel Coyote,,,Mike DiNapoli,,,Ciatta R Thompson,,,Moses Ross,,,Bob Callahan,,,John Toran,,,Stanley Penkin,,,Chloe Mason,,,Kevin Goldsmith,,,Andra Vltavin,,,Ben Hufford,,,Tony Morse,,,Bob Weinstein,,,Lisa Freeman,,,Chad Lykins,,,Sarah Silkie,,,,,,Eli Arnold,,,,,
,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest
Olivia Clark,19138.0000,24.95%,+2.0000,19140.0000,24.95%,+11.0000,19151.0000,24.96%,+6.0000,19157.0000,24.97%,+3.0000,19160.0000,24.97%,+5.0000,19165.0000,24.98%,+17.0000,19182.0000,25.00%,-2.0000,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%
Mitch Green,10387.0000,13.54%,+1.0000,10388.0000,13.54%,+1.0000,10389.0000,13.54%,+15.0000,10404.0000,13.56%,+6.0000,10410.0000,13.57%,+2.0000,10412.0000,13.57%,+7.0000,10419.0000,13.58%,+0.1073,10419.1073,13.58%,+5.0000,10424.1073,13.59%,+18.0000,10442.1073,13.61%,+19.0002,10461.1075,13.64%,+26.0001,10487.1076,13.67%,+57.0002,10544.1078,13.74%,+12.0000,10556.1078,13.76%,+32.0006,10588.1084,13.80%,+40.0007,10628.1091,13.85%,+48.0008,10676.1099,13.92%,+52.0006,10728.1105,13.98%,+75.0016,10803.1121,14.08%,+78.0028,10881.1149,14.18%,+110.0013,10991.1162,14.33%,+196.0012,11187.1174,14.58%,+452.0012,11639.1186,15.17%,+112.0032,11751.1218,15.32%,+268.0069,12019.1287,15.67%,+797.0123,12816.1410,16.71%,+1596.0262,14412.1672,18.79%,+2288.0221,16700.1893,21.77%,+3453.0888,20153.2781,26.27%,-973.2781,19180.0000,25.00%,,19180.0000,25.00%,,19180.0000,25.00%
Eric Zimmerman,8005.0000,10.43%,,8005.0000,10.43%,+8.0000,8013.0000,10.44%,+2.0000,8015.0000,10.45%,+20.0000,8035.0000,10.47%,+24.0000,8059.0000,10.50%,+6.0000,8065.0000,10.51%,+0.9318,8065.9318,10.51%,+7.0000,8072.9318,10.52%,+13.0002,8085.9320,10.54%,+6.0009,8091.9329,10.55%,+11.0001,8102.9330,10.56%,+5.0005,8107.9335,10.57%,+13.0000,8120.9335,10.59%,+29.0001,8149.9336,10.62%,+22.0005,8171.9341,10.65%,+60.0014,8231.9355,10.73%,+98.0025,8329.9380,10.86%,+163.0037,8492.9417,11.07%,+230.0038,8722.9455,11.37%,+87.0012,8809.9467,11.48%,+129.0009,8938.9476,11.65%,+35.0003,8973.9479,11.70%,+430.0103,9403.9582,12.26%,+752.0153,10155.9735,13.24%,+896.0211,11051.9946,14.41%,+455.0207,11507.0153,15.00%,+837.0198,12344.0351,16.09%,+1312.0733,13656.1084,17.80%,+117.0778,13773.1862,17.95%,+6459.0364,20232.2226,26.37%,-1052.2226,19180.0000,25.00%
Eli Arnold,8123.0000,10.59%,,8123.0000,10.59%,+1.0000,8124.0000,10.59%,+8.0000,8132.0000,10.60%,+14.0000,8146.0000,10.62%,+34.0000,8180.0000,10.66%,+8.0000,8188.0000,10.67%,+0.1928,8188.1928,10.67%,+6.0000,8194.1928,10.68%,+9.0000,8203.1928,10.69%,+17.0001,8220.1929,10.71%,+17.0000,8237.1929,10.74%,+8.0003,8245.1932,10.75%,+7.0000,8252.1932,10.76%,+11.0005,8263.1937,10.77%,+26.0003,8289.1940,10.80%,+30.0010,8319.1950,10.84%,+163.0026,8482.1976,11.06%,+184.0026,8666.2002,11.30%,+197.0059,8863.2061,11.55%,+50.0015,8913.2076,11.62%,+264.0010,9177.2086,11.96%,+40.0002,9217.2088,12.01%,+415.0057,9632.2145,12.56%,+289.0082,9921.2227,12.93%,+1257.0191,11178.2418,14.57%,+300.0095,11478.2513,14.96%,+607.0124,12085.2637,15.75%,+725.0353,12810.2990,16.70%,+89.2182,12899.5172,16.81%,-12899.5172,,,,,
Chad Lykins,4757.0000,6.20%,,4757.0000,6.20%,+9.0000,4766.0000,6.21%,+3.0000,4769.0000,6.22%,,4769.0000,6.22%,+2.0000,4771.0000,6.22%,+9.0000,4780.0000,6.23%,+0.0667,4780.0667,6.23%,+4.0000,4784.0667,6.24%,+15.0000,4799.0667,6.26%,+15.0000,4814.0667,6.28%,+11.0000,4825.0667,6.29%,+19.0000,4844.0667,6.31%,+3.0001,4847.0668,6.32%,+20.0002,4867.0670,6.34%,+38.0001,4905.0671,6.39%,+61.0007,4966.0678,6.47%,+43.0006,5009.0684,6.53%,+71.0008,5080.0692,6.62%,+58.0023,5138.0715,6.70%,+98.0010,5236.0725,6.83%,+83.0007,5319.0732,6.93%,+154.0004,5473.0736,7.13%,+126.0021,5599.0757,7.30%,+347.0059,5946.0816,7.75%,+295.0050,6241.0866,8.14%,+797.0124,7038.0990,9.17%,-7038.0990,,,,,,,,,,,,,,
Sarah Silkie,4415.0000,5.75%,+2.0000,4417.0000,5.76%,+7.0000,4424.0000,5.77%,+1.0000,4425.0000,5.77%,+3.0000,4428.0000,5.77%,+3.0000,4431.0000,5.78%,+29.0000,4460.0000,5.81%,+0.1827,4460.1827,5.81%,+7.0001,4467.1828,5.82%,+22.0002,4489.1830,5.85%,+10.0004,4499.1834,5.86%,+10.0000,4509.1834,5.88%,+26.0002,4535.1836,5.91%,+46.0006,4581.1842,5.97%,+36.0001,4617.1843,6.02%,+65.0009,4682.1852,6.10%,+88.0008,4770.1860,6.22%,+76.0018,4846.1878,6.32%,+60.0011,4906.1889,6.40%,+69.0025,4975.1914,6.49%,+177.0026,5152.1940,6.72%,+128.0016,5280.1956,6.88%,+319.0014,5599.1970,7.30%,+180.0042,5779.2012,7.53%,+210.0053,5989.2065,7.81%,+377.0088,6366.2153,8.30%,+1332.0400,7698.2553,10.03%,+1620.0211,9318.2764,12.15%,-9318.2764,,,,,,,,,,,
Bob Weinstein,3891.0000,5.07%,+1.0000,3892.0000,5.07%,+7.0000,3899.0000,5.08%,+1.0000,3900.0000,5.08%,+1.0000,3901.0000,5.08%,+2.0000,3903.0000,5.09%,+7.0000,3910.0000,5.10%,+0.0654,3910.0654,5.10%,+8.0001,3918.0655,5.11%,+12.0000,3930.0655,5.12%,+7.0001,3937.0656,5.13%,+21.0001,3958.0657,5.16%,+6.0000,3964.0657,5.17%,+10.0000,3974.0657,5.18%,+20.0000,3994.0657,5.21%,+25.0003,4019.0660,5.24%,+45.0009,4064.0669,5.30%,+52.0003,4116.0672,5.37%,+75.0015,4191.0687,5.46%,+166.0045,4357.0732,5.68%,+40.0008,4397.0740,5.73%,+133.0011,4530.0751,5.90%,+87.0003,4617.0754,6.02%,+239.0055,4856.0809,6.33%,+122.0036,4978.0845,6.49%,-4978.0845,,,,,,,,,,,,,,,,,,,,
