CONSOLIDATED MULTNOMAH COUNTY WASHINGTON COUNTY AND CLACKAMAS COUNTY ELECTION RESULTS
City of Portland Councilor District 3
ELECTION RESULTS - FINAL

Contest,City of Portland Councilor District 3
Election Date,November 05 2024
Report Date,December 02 2024 03:04:48 PM
Registered Voters in District,128102
Election Threshold,21129 votes (25% +1)

,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Round 7,,,Round 8,,,Round 9,,,Round 10,,,Round 11,,,Round 12,,,Round 13,,,Round 14,,,Round 15,,,Round 16,,,Round 17,,,Round 18,,,Round 19,,,Round 20,,,Round 21,,,Round 22,,,Round 23,,,Round 24,,,Round 25,,,Round 26,,,Round 27,,,Round 28,,,Round 29,,,Round 30,
Met threshold for election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steve Novick,,,,,,,,,,,,,,,,,,,,,,,,,,,Angelita Morillo; Tiffany Koyama Lane,,,,
Defeated,,,Clifford Higgins,,,Kenneth (Kent) R Landgraver III,,,David O'Connor,,,Patrick Hilton,,,Jaclyn Smith-Moore,,,Theo Hathaway Saner,,,Kelly Janes (KJ),,,Uncertified Write In,,,John Sweeney,,,Christopher Brummer,,,Dan Gilk,,,Terry Parker,,,Brian Conley,,,Luke Zak,,,Heart Free Pham,,,Ahlam K Osman,,,Matthew (Matt) Anderson,,,Melodie Beirwagen,,,Chris Flanary,,,,,,Jonathan (Jon) Walker,,,Cristal Azul Otero,,,Daniel DeMelo,,,Sandeep Bali,,,Philippe Knab,,,Harrison Kass,,,Jesse Cornett,,,Rex Burkholder,,,,,
,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest,votes transferred,# votes,% of votes in contest
Steve Novick,20457.0000,24.21%,+11.0000,20468.0000,24.22%,+11.0000,20479.0000,24.23%,+21.0000,20500.0000,24.26%,+8.0000,20508.0000,24.27%,+10.0000,20518.0000,24.28%,+21.0000,20539.0000,24.30%,+14.0000,20553.0000,24.32%,+13.0000,20566.0000,24.33%,+24.0000,20590.0000,24.36%,+30.0000,20620.0000,24.40%,+48.0000,20668.0000,24.45%,+30.0000,20698.0000,24.49%,+37.0000,20735.0000,24.53%,+54.0000,20789.0000,24.60%,+55.0000,20844.0000,24.66%,+29.0000,20873.0000,24.70%,+63.0000,20936.0000,24.77%,+79.0000,21015.0000,24.87%,+126.0000,21141.0000,25.01%,-12.0000,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%,,21129.0000,25.00%
Angelita Morillo,16399.0000,19.40%,+12.0000,16411.0000,19.42%,+4.0000,16415.0000,19.42%,+9.0000,16424.0000,19.43%,+16.0000,16440.0000,19.45%,+42.0000,16482.0000,19.50%,+30.0000,16512.0000,19.54%,+35.0000,16547.0000,19.58%,+7.0000,16554.0000,19.59%,+14.0000,16568.0000,19.60%,+21.0000,16589.0000,19.63%,+18.0000,16607.0000,19.65%,+9.0000,16616.0000,19.66%,+80.0000,16696.0000,19.76%,+103.0000,16799.0000,19.88%,+70.0000,16869.0000,19.96%,+229.0000,17098.0000,20.23%,+70.0000,17168.0000,20.31%,+94.0000,17262.0000,20.42%,+463.0000,17725.0000,20.97%,+1.3005,17726.3005,20.97%,+137.0155,17863.3160,21.14%,+525.0920,18388.4080,21.76%,+243.0200,18631.4280,22.05%,+218.0075,18849.4355,22.30%,+397.3045,19246.7400,22.77%,+134.0175,19380.7575,22.93%,+1208.2550,20589.0125,24.36%,+1723.7000,22312.7125,26.40%,-1183.7125,21129.0000,25.00%
Tiffany Koyama Lane,16320.0000,19.31%,+6.0000,16326.0000,19.32%,+7.0000,16333.0000,19.33%,+5.0000,16338.0000,19.33%,+10.0000,16348.0000,19.34%,+21.0000,16369.0000,19.37%,+18.0000,16387.0000,19.39%,+19.0000,16406.0000,19.41%,+18.0000,16424.0000,19.43%,+5.0000,16429.0000,19.44%,+20.0000,16449.0000,19.46%,+35.0000,16484.0000,19.50%,+10.0000,16494.0000,19.52%,+51.0000,16545.0000,19.58%,+79.0000,16624.0000,19.67%,+66.0000,16690.0000,19.75%,+128.0000,16818.0000,19.90%,+61.0000,16879.0000,19.97%,+157.0000,17036.0000,20.16%,+370.0000,17406.0000,20.60%,+1.0310,17407.0310,20.60%,+216.0190,17623.0500,20.85%,+261.0435,17884.0935,21.16%,+230.0195,18114.1130,21.43%,+194.0070,18308.1200,21.66%,+369.1435,18677.2635,22.10%,+233.0225,18910.2860,22.38%,+1198.1835,20108.4695,23.79%,+1562.2870,21670.7565,25.64%,-541.7565,21129.0000,25.00%
Kezia Wanner,5313.0000,6.29%,+1.0000,5314.0000,6.29%,+3.0000,5317.0000,6.29%,+2.0000,5319.0000,6.29%,+10.0000,5329.0000,6.31%,+8.0000,5337.0000,6.31%,+3.0000,5340.0000,6.32%,+9.0000,5349.0000,6.33%,+4.0000,5353.0000,6.33%,+16.0000,5369.0000,6.35%,+5.0000,5374.0000,6.36%,+23.0000,5397.0000,6.39%,+28.0000,5425.0000,6.42%,+23.0000,5448.0000,6.45%,+18.0000,5466.0000,6.47%,+19.0000,5485.0000,6.49%,+20.0000,5505.0000,6.51%,+53.0000,5558.0000,6.58%,+138.0000,5696.0000,6.74%,+18.0000,5714.0000,6.76%,+1.0470,5715.0470,6.76%,+192.0165,5907.0635,6.99%,+124.0235,6031.0870,7.14%,+299.0280,6330.1150,7.49%,+478.0205,6808.1355,8.06%,+215.0820,7023.2175,8.31%,+1785.0730,8808.2905,10.42%,+826.2690,9634.5595,11.40%,+889.2500,10523.8095,12.45%,+145.3699,10669.1794,12.62%
Rex Burkholder,3951.0000,4.67%,+7.0000,3958.0000,4.68%,+10.0000,3968.0000,4.70%,+6.0000,3974.0000,4.70%,+12.0000,3986.0000,4.72%,+2.0000,3988.0000,4.72%,+7.0000,3995.0000,4.73%,+11.0000,4006.0000,4.74%,+2.0000,4008.0000,4.74%,+8.0000,4016.0000,4.75%,+15.0000,4031.0000,4.77%,+17.0000,4048.0000,4.79%,+16.0000,4064.0000,4.81%,+29.0000,4093.0000,4.84%,+42.0000,4135.0000,4.89%,+25.0000,4160.0000,4.92%,+31.0000,4191.0000,4.96%,+88.0000,4279.0000,5.06%,+95.0000,4374.0000,5.18%,+69.0000,4443.0000,5.26%,+0.9625,4443.9625,5.26%,+191.0270,4634.9895,5.48%,+146.0960,4781.0855,5.66%,+168.0190,4949.1045,5.86%,+177.0100,5126.1145,6.07%,+495.6445,5621.7590,6.65%,+269.0290,5890.7880,6.97%,+921.3080,6812.0960,8.06%,-6812.0960,,,,,
Jesse Cornett,3860.0000,4.57%,+3.0000,3863.0000,4.57%,+9.0000,3872.0000,4.58%,+3.0000,3875.0000,4.58%,+10.0000,3885.0000,4.60%,+5.0000,3890.0000,4.60%,+15.0000,3905.0000,4.62%,+10.0000,3915.0000,4.63%,+1.0000,3916.0000,4.63%,+3.0000,3919.0000,4.64%,+8.0000,3927.0000,4.65%,+13.0000,3940.0000,4.66%,+15.0000,3955.0000,4.68%,+59.0000,4014.0000,4.75%,+38.0000,4052.0000,4.79%,+25.0000,4077.0000,4.82%,+22.0000,4099.0000,4.85%,+47.0000,4146.0000,4.91%,+49.0000,4195.0000,4.96%,+131.0000,4326.0000,5.12%,+0.9630,4326.9630,5.12%,+122.0120,4448.9750,5.26%,+90.0575,4539.0325,5.37%,+295.0300,4834.0625,5.72%,+142.0055,4976.0680,5.89%,+241.1930,5217.2610,6.17%,+223.0220,5440.2830,6.44%,-5440.2830,,,,,,,,
Harrison Kass,2786.0000,3.30%,+5.0000,2791.0000,3.30%,+3.0000,2794.0000,3.31%,+6.0000,2800.0000,3.31%,+14.0000,2814.0000,3.33%,,2814.0000,3.33%,+4.0000,2818.0000,3.33%,+4.0000,2822.0000,3.34%,+1.0000,2823.0000,3.34%,+8.0000,2831.0000,3.35%,+5.0000,2836.0000,3.36%,+17.0000,2853.0000,3.38%,+44.0000,2897.0000,3.43%,+15.0000,2912.0000,3.45%,+17.0000,2929.0000,3.47%,+12.0000,2941.0000,3.48%,+8.0000,2949.0000,3.49%,+58.0000,3007.0000,3.56%,+76.0000,3083.0000,3.65%,+22.0000,3105.0000,3.67%,+0.1885,3105.1885,3.67%,+78.0085,3183.1970,3.77%,+32.0070,3215.2040,3.80%,+256.0140,3471.2180,4.11%,+338.0055,3809.2235,4.51%,+157.0215,3966.2450,4.69%,-3966.2450,,,,,,,,,,,
